timestamp,open,high,low,close,volume,close_time,quote_av,trades,tb_base_av,tb_quote_av,ignore
2017-11-02,0.00002246,0.00003175,0.00002246,0.00002959,5930002.00000000,1509667199999,161.99230072,3767,2897956.00000000,79.65033855,1704107.58140100
2017-11-03,0.00002957,0.00004598,0.00002475,0.00002871,18667797.00000000,1509753599999,549.49890645,8113,9029261.00000000,267.84580259,4514676.50955000
2017-11-04,0.00002900,0.00002922,0.00002665,0.00002706,12719813.00000000,1509839999999,355.38235027,5967,4912333.00000000,137.71353838,4680376.40507900
2017-11-05,0.00002707,0.00002751,0.00002603,0.00002700,10199145.00000000,1509926399999,274.88296180,5663,4374305.00000000,118.07497130,4531877.85380400
2017-11-06,0.00002700,0.00002950,0.00002690,0.00002850,12147312.00000000,1510012799999,337.12679086,6362,5444470.00000000,151.71569022,4616711.95768900
2017-11-07,0.00002835,0.00002910,0.00002778,0.00002908,8862830.00000000,1510099199999,251.95495535,5148,4549900.00000000,129.65066883,4681144.13796100
2017-11-08,0.00002898,0.00003011,0.00002663,0.00002900,12948344.00000000,1510185599999,367.55984380,6141,5402225.00000000,153.84049136,5173999.81774900
2017-11-09,0.00002901,0.00003100,0.00002888,0.00003052,8846759.00000000,1510271999999,266.27254267,5202,4421431.00000000,133.27280426,6031135.30188000
2017-11-10,0.00003033,0.00003250,0.00002930,0.00003103,8707440.00000000,1510358399999,264.71234921,5722,4375263.00000000,133.07414602,5877357.13301700
2017-11-11,0.00003104,0.00003417,0.00002959,0.00003290,9595078.00000000,1510444799999,306.13885441,5836,4114841.00000000,131.31439379,7517665.33314700
2017-11-12,0.00003309,0.00003638,0.00002859,0.00003275,10382975.00000000,1510531199999,337.12687460,6959,4688169.00000000,151.66499848,7789992.20566900
2017-11-13,0.00003274,0.00003362,0.00002915,0.00003094,10383241.00000000,1510617599999,324.84895132,5943,4545722.00000000,142.43015921,8495759.71960700
2017-11-14,0.00003095,0.00003192,0.00002949,0.00003109,10623098.00000000,1510703999999,328.72888022,6472,4475914.00000000,138.62743236,9553470.01101400
2017-11-15,0.00003109,0.00003110,0.00002800,0.00002895,11124850.00000000,1510790399999,327.26493078,6554,4946026.00000000,145.33786029,10533084.62967700
2017-11-16,0.00002887,0.00006250,0.00002732,0.00002871,44497596.00000000,1510876799999,1485.51917087,16716,22702322.00000000,754.67298838,22982338.62346000
2017-11-17,0.00002871,0.00003125,0.00002702,0.00002862,39499369.00000000,1510963199999,1134.18597804,11822,17740097.00000000,509.40835587,20694654.18935100
2017-11-18,0.00002862,0.00002988,0.00002800,0.00002919,28466966.00000000,1511049599999,826.50603584,8521,10941331.00000000,318.14437330,21941183.94635800
2017-11-19,0.00002917,0.00003098,0.00002779,0.00002880,32729729.00000000,1511135999999,956.61131059,9319,17360360.00000000,508.39828371,22234275.69443300
2017-11-20,0.00002882,0.00003068,0.00002852,0.00002929,34221948.00000000,1511222399999,1011.72398103,10049,18790758.00000000,556.91310459,23207449.34928941
2017-11-21,0.00002930,0.00003035,0.00002800,0.00002834,33132930.00000000,1511308799999,961.32994148,11076,17286738.00000000,501.96396175,24630685.57480600
2017-11-22,0.00002835,0.00002964,0.00002782,0.00002905,32891710.00000000,1511395199999,940.18596420,12259,16340066.00000000,467.68457197,26571239.60073400
2017-11-23,0.00002908,0.00003081,0.00002878,0.00003006,44801739.00000000,1511481599999,1324.01801929,16144,20010271.00000000,591.70958631,30752278.15008300
2017-11-24,0.00003005,0.00003018,0.00002756,0.00002918,40670140.00000000,1511567999999,1186.93100988,14665,20191026.00000000,589.89859206,30426720.57378500
2017-11-25,0.00002917,0.00002998,0.00002839,0.00002850,35941823.00000000,1511654399999,1044.40755395,11843,18378497.00000000,534.39638654,30967953.39370600
2017-11-26,0.00002851,0.00002880,0.00002576,0.00002645,32665963.00000000,1511740799999,890.66913473,11007,16554550.00000000,451.01401400,31239995.27807200
2017-11-27,0.00002649,0.00002649,0.00001997,0.00002537,34217238.00000000,1511827199999,876.62495229,13254,17420138.00000000,446.76227749,31536320.69734900
2017-11-28,0.00002537,0.00002863,0.00002518,0.00002845,44771119.00000000,1511913599999,1187.44216873,16442,21962026.00000000,582.89424518,34552340.41236900
2017-11-29,0.00002842,0.00002842,0.00002372,0.00002403,40864511.00000000,1511999999999,1025.49822720,15321,19991581.00000000,501.64535042,38360598.40959500
2017-11-30,0.00002405,0.00002498,0.00002280,0.00002366,27593671.00000000,1512086399999,655.86767653,11481,11207301.00000000,266.83281868,38409634.80527000
2017-12-01,0.00002366,0.00002421,0.00002273,0.00002282,39280165.00000000,1512172799999,921.55414747,9702,25116009.00000000,588.79168695,39146055.33313400
2017-12-02,0.00002282,0.00002303,0.00002200,0.00002240,41607735.00000000,1512259199999,934.55796986,8902,26172422.00000000,588.13761213,40104706.11067842
2017-12-03,0.00002241,0.00002250,0.00002127,0.00002186,35552953.00000000,1512345599999,781.00754480,8790,23261657.00000000,511.11659118,39756124.60766100
2017-12-04,0.00002191,0.00002196,0.00002099,0.00002130,35780633.00000000,1512431999999,768.80916415,10122,22429271.00000000,482.32667823,42528455.31158400
2017-12-05,0.00002128,0.00002135,0.00001962,0.00001997,48041834.00000000,1512518399999,987.82210506,13578,27778611.00000000,571.75767997,46201244.61655700
2017-12-06,0.00001997,0.00002000,0.00000002,0.00001585,52681391.00000000,1512604799999,940.34147786,17406,30355510.00000000,543.42972611,46946373.40144200
2017-12-07,0.00001585,0.00001591,0.00001208,0.00001221,52938627.00000000,1512691199999,760.75000042,18607,24907138.00000000,362.19792872,48293069.52092000
2017-12-08,0.00001219,0.00002220,0.00001180,0.00001470,103693349.00000000,1512777599999,1569.84797082,40192,48006788.00000000,727.02558153,61868120.97938600
2017-12-09,0.00001470,0.00001775,0.00001434,0.00001601,62924744.00000000,1512863999999,1013.11853674,20484,28606149.00000000,461.40766971,64602525.34326800
2017-12-10,0.00001602,0.00001754,0.00001472,0.00001529,54182352.00000000,1512950399999,877.61740183,17951,23452733.00000000,379.40222207,66185889.45143600
2017-12-11,0.00001527,0.00001551,0.00001400,0.00001486,56006931.00000000,1513036799999,821.78266971,17215,24259642.00000000,356.23003790,68702945.62897700
2017-12-12,0.00001489,0.00002846,0.00001461,0.00002266,192329007.00000000,1513123199999,3950.43008276,75130,91748473.00000000,1899.51391514,108003370.73942200
2017-12-13,0.00002297,0.00003250,0.00002011,0.00002893,263112416.00000000,1513209599999,6979.36649678,126502,137754281.00000000,3667.74267213,140613012.11599000
2017-12-14,0.00002887,0.00005890,0.00002751,0.00005345,349578342.00000000,1513295999999,14870.30694756,239501,184997878.00000000,7891.05427776,198031439.15917600
2017-12-15,0.00005329,0.00005329,0.00003420,0.00004201,291842208.00000000,1513382399999,12617.85557480,195074,149435807.00000000,6461.68985107,218475844.53740700
2017-12-16,0.00004201,0.00004628,0.00003700,0.00003817,152874404.00000000,1513468799999,6317.94974980,107846,77298606.00000000,3194.02494304,215913226.29343400
